,time,value
0,1,161
1,2,187
2,3,187
3,4,188
4,5,186
5,6,185
6,7,186
7,8,185
8,9,184
9,10,183
10,11,182
11,12,182
12,13,182
13,14,183
14,15,182
15,16,183
16,17,186
17,18,189
18,19,195
19,20,221
20,21,245
21,22,278
22,23,296
23,24,301
24,25,310
25,26,325
26,27,345
27,28,366
28,29,381
29,30,387
30,31,389
31,32,388
32,33,375
33,34,364
34,35,354
35,36,338
36,37,327
37,38,321
38,39,313
39,40,295
40,41,271
41,42,252
42,43,193
43,44,184
44,45,183
45,46,184
46,47,184
47,48,185
48,49,184
49,50,184
50,51,188
51,52,193
52,53,231
53,54,271
54,55,292
55,56,298
56,57,307
57,58,313
58,59,328
59,60,341
60,61,356
61,62,373
62,63,382
63,64,384
64,65,383
65,66,356
66,67,324
67,68,308
68,69,293
69,70,203
70,71,188
71,72,186
72,73,186
73,74,184
74,75,183
75,76,187
76,77,194
77,78,201
78,79,202
79,80,200
80,81,199
81,82,204
82,83,225
83,84,252
84,85,276
85,86,290
86,87,300
87,88,309
88,89,320
89,90,339
90,91,351
91,92,366
92,93,378
93,94,383
94,95,375
95,96,341
96,97,326
97,98,298
98,99,202
99,100,185
100,101,182
101,102,182
102,103,181
103,104,181
104,105,181
105,106,181
106,107,182
107,108,181
108,109,185
109,110,181
110,111,181
111,112,181
112,113,181
113,114,181
114,115,181
115,116,180
116,117,181
117,118,181
118,119,185
119,120,187
120,121,186
121,122,185
122,123,184
123,124,180
124,125,182
125,126,185
126,127,189
127,128,198
128,129,227
129,130,262
130,131,275
131,132,282
132,133,291
133,134,303
134,135,315
135,136,324
136,137,332
137,138,338
138,139,340
139,140,347
140,141,370
141,142,375
142,143,377
143,144,377
144,145,367
145,146,335
146,147,307
147,148,298
148,149,231
149,150,205
150,151,191
151,152,183
152,153,179
153,154,174
154,155,174
155,156,176
156,157,181
157,158,179
158,159,179
159,160,179
160,161,179
161,162,181
162,163,185
163,164,189
164,165,229
165,166,266
166,167,243
167,168,246
168,169,284
169,170,262
170,171,291
171,172,313
172,173,337
173,174,328
174,175,353
175,176,373
176,177,379
177,178,372
178,179,381
179,180,360
180,181,362
181,182,355
182,183,311
183,184,308
184,185,304
185,186,276
186,187,274
187,188,215
188,189,186
189,190,181
190,191,179
191,192,177
192,193,175
193,194,180
194,195,182
195,196,183
196,197,183
197,198,184
198,199,184
199,200,184
200,201,184
201,202,184
202,203,184
203,204,184
204,205,184
205,206,184
206,207,184
207,208,184
208,209,184
209,210,185
210,211,185
211,212,185
212,213,185
213,214,185
214,215,185
215,216,185
216,217,185
217,218,185
218,219,185
219,220,185
220,221,185
221,222,185
222,223,185
223,224,185
224,225,185
225,226,185
226,227,185
227,228,185
228,229,185
229,230,185
230,231,185
231,232,185
232,233,185
233,234,185
234,235,185
235,236,185
236,237,186
237,238,186
238,239,186
239,240,185
240,241,185
241,242,185
242,243,184
243,244,185
244,245,185
245,246,185
246,247,185
247,248,185
248,249,189
249,250,244
250,251,271
251,252,288
252,253,300
253,254,323
254,255,317
255,256,268
256,257,345
257,258,333
258,259,324
259,260,268
260,261,242
261,262,278
262,263,261
263,264,328
264,265,324
265,266,278
266,267,275
267,268,213
268,269,180
269,270,176
270,271,175
271,272,176
272,273,177
273,274,177
274,275,177
275,276,177
276,277,177
277,278,181
278,279,175
279,280,174
280,281,173
281,282,172
282,283,173
283,284,173
284,285,173
285,286,173
286,287,172
287,288,173
288,289,171
289,290,172
290,291,172
291,292,173
292,293,172
293,294,172
294,295,173
295,296,171
296,297,173
297,298,173
298,299,174
299,300,173
300,301,173
301,302,173
302,303,174
303,304,174
304,305,174
305,306,173
306,307,174
307,308,174
308,309,175
309,310,174
310,311,173
311,312,177
312,313,179
313,314,181
314,315,179
315,316,179
316,317,180
317,318,181
318,319,182
319,320,182
320,321,182
321,322,184
322,323,185
323,324,190
324,325,216
325,326,241
326,327,256
327,328,270
328,329,275
329,330,280
330,331,248
331,332,204
332,333,199
333,334,194
334,335,199
335,336,203
336,337,209
337,338,202
338,339,219
339,340,249
340,341,216
341,342,216
342,343,224
343,344,192
344,345,186
345,346,187
346,347,187
347,348,185
348,349,184
349,350,183
350,351,183
351,352,185
352,353,188
353,354,189
354,355,210
355,356,246
356,357,275
357,358,286
358,359,297
359,360,297
360,361,285
361,362,272
362,363,254
363,364,253
364,365,205
365,366,197
366,367,239
367,368,259
368,369,248
369,370,303
370,371,251
371,372,188
372,373,179
373,374,178
374,375,176
375,376,176
376,377,176
377,378,176
378,379,177
379,380,180
380,381,184
381,382,194
382,383,194
383,384,187
384,385,186
385,386,213
386,387,221
387,388,199
388,389,225
389,390,249
390,391,263
391,392,273
392,393,283
393,394,297
394,395,282
395,396,224
396,397,216
397,398,216
398,399,220
399,400,218
400,401,218
401,402,218
402,403,217
403,404,214
404,405,340
405,406,373
406,407,379
407,408,364
408,409,343
409,410,309
410,411,221
411,412,185
412,413,175
413,414,175
414,415,173
415,416,173
416,417,173
417,418,174
418,419,180
419,420,181
420,421,184
421,422,183
422,423,182
423,424,182
424,425,188
425,426,194
426,427,196
427,428,199
428,429,209
429,430,204
430,431,205
431,432,210
432,433,213
433,434,214
434,435,212
435,436,208
436,437,206
437,438,208
438,439,210
439,440,211
440,441,223
441,442,262
442,443,310
443,444,297
444,445,281
445,446,263
446,447,267
447,448,248
448,449,240
449,450,192
450,451,182
451,452,180
