,time,value
0,1,161
1,2,187
2,3,187
3,4,188
4,5,186
5,6,185
6,7,186
7,8,185
8,9,184
9,10,183
10,11,182
11,12,182
12,13,182
13,14,183
14,15,182
15,16,183
16,17,186
17,18,189
18,19,195
19,20,221
20,21,245
21,22,278
22,23,296
23,24,301
24,25,310
25,26,325
26,27,345
27,28,366
28,29,381
29,30,387
30,31,389
31,32,388
32,33,375
33,34,364
34,35,354
35,36,338
36,37,327
37,38,321
38,39,313
39,40,295
40,41,271
41,42,252
42,43,193
43,44,184
44,45,183
45,46,184
46,47,184
47,48,185
48,49,184
49,50,184
50,51,188
51,52,193
52,53,231
53,54,271
54,55,292
55,56,298
56,57,307
57,58,313
58,59,328
59,60,341
60,61,356
61,62,373
62,63,382
63,64,384
64,65,383
65,66,356
66,67,324
67,68,308
68,69,293
69,70,203
70,71,188
71,72,186
72,73,186
73,74,184
74,75,183
75,76,187
76,77,194
77,78,201
78,79,202
79,80,200
80,81,199
81,82,204
82,83,225
83,84,252
84,85,276
85,86,290
86,87,300
87,88,309
88,89,320
89,90,339
90,91,351
91,92,366
92,93,378
93,94,383
94,95,375
95,96,341
96,97,326
97,98,298
98,99,202
99,100,185
100,101,182
101,102,182
102,103,181
103,104,181
104,105,181
105,106,181
106,107,182
107,108,181
108,109,185
109,110,181
110,111,181
111,112,181
112,113,181
113,114,181
114,115,181
115,116,180
116,117,181
117,118,181
118,119,185
119,120,187
120,121,186
121,122,185
122,123,184
123,124,180
124,125,182
125,126,185
126,127,189
127,128,198
128,129,227
129,130,262
130,131,275
131,132,282
132,133,291
133,134,303
134,135,315
135,136,324
136,137,332
137,138,338
138,139,340
139,140,347
140,141,370
141,142,375
142,143,377
143,144,377
144,145,367
145,146,335
146,147,307
147,148,298
148,149,231
149,150,205
150,151,191
151,152,183
152,153,179
153,154,174
154,155,174
155,156,176
156,157,181
157,158,179
158,159,179
159,160,179
160,161,179
161,162,181
162,163,185
163,164,189
164,165,229
165,166,266
166,167,243
167,168,246
168,169,284
169,170,262
170,171,291
171,172,313
172,173,337
173,174,328
174,175,353
175,176,373
176,177,379
177,178,372
178,179,381
179,180,360
180,181,362
181,182,355
182,183,311
183,184,308
184,185,304
185,186,276
186,187,274
187,188,215
188,189,186
189,190,181
190,191,179
191,192,177
192,193,175
193,194,180
194,195,182
195,196,183
196,197,183
197,198,184
198,199,184
